"","M4_TimeVarying"
"","b/t"
"npr","-.7266256***"
"","-12.64296"
"npr_yr2012",".0204906"
"",".6109046"
"npr_yr2013",".0715977"
"","1.589381"
"npr_yr2014",".0113547"
"",".23479"
"npr_yr2015",".126477"
"","1.861487"
"npr_yr2016",".181996"
"","1.686614"
"npr_yr2017",".1980607"
"","1.579347"
"npr_yr2018",".3177589**"
"","3.307135"
"npr_yr2019",".2841268*"
"","2.932771"
"npr_yr2020",".2177993"
"","2.095327"
"npr_yr2021",".0793726"
"",".7498802"
"npr_yr2022",".0368282"
"",".3428644"
"npr_yr2023","-.2049945"
"","-2.027885"
"npr_yr2024","-.2366463*"
"","-2.747654"
"npr_yr2025","-.1448861"
"","-1.901569"
"size",".0822394***"
"","18.27313"
"tang",".078208**"
"","3.472046"
"growth",".0205964*"
"","2.478095"
"ndts",".4253702*"
"","2.2366"
"_cons","-1.424284***"
"","-13.93754"
"N","38358"
