"","M1 TWFE","M1 IFE","M2 SOE","M2 Non-SOE","M3 Interact"
"","b/t","b/t","b/t","b/t","b/t"
"npr","-.6174595***","-.5689169***","-.7827861***","-.4993219***","-.9635639***"
"","-11.78511","-11.13173","-13.67341","-13.41596","-32.05503"
"1.soe#c.npr","","-.201159***","","","-.48617***"
"","","-4.721361","","","-8.232495"
"1.soe#c.npr","","","","",""
"","","","","",""
"1.soe","",".0311541**","","",".0465352***"
"","","3.522946","","","8.230127"
"m2_growth","","0","","",""
"","",".","","",""
"size",".0789159***",".0783116***",".0832324***",".0676743***",".0625854***"
"","17.78524","17.69826","12.06624","11.17303","31.4979"
"tang",".0799561**",".0746603**",".0519339",".1105629**",".0472541*"
"","3.562561","3.311494","1.64938","3.701661","2.389169"
"growth",".0220199*",".0218609*",".0164261*",".0299357**",".0524727***"
"","2.562718","2.582579","2.288568","3.230715","14.16404"
"ndts",".5276494*",".6064854**","-.5156508",".848638**",".2280954"
"","2.67668","3.217303","-1.660614","3.972197","1.291145"
"0.soe","","0","","","0"
"","",".","","","."
"0.soe#c.npr","","0","","","0"
"","",".","","","."
"Within R²","","","","",""
"N","38358","37001","13952","24371","38384"
"双向聚类标准误在公司-年度层面"
